Player Name,Salary,Team,Pos,Opp Team,Proj FP
Timothy Anderson,3800,CHW,SS,KCR,5.69
Jose Abreu,3700,CHW,1B,KCR,8.11
Omar Narvaez,2800,CHW,C,KCR,4.29
Adam Engel,2300,CHW,OF,KCR,4.49
Matt Davidson,3100,CHW,1B/3B,KCR,5.85
Will Middlebrooks,2700,TEX,3B,SEA,5.23
Nick Delmonico,3200,CHW,1B/OF,KCR,6.16
Yolmer Sanchez,3400,CHW,2B/3B,KCR,6.12
Yoan Moncada,3200,CHW,2B,KCR,5.97
Salvador Perez,3500,KCR,C,CHW,6.37
Alex Gordon,3300,KCR,OF,CHW,5.2
Whit Merrifield,3600,KCR,2B,CHW,7.26
Eric Hosmer,3900,KCR,1B,CHW,7.81
Lorenzo Cain,3500,KCR,OF,CHW,7.19
Avisail Garcia,3700,CHW,OF,KCR,6.3
Mike Moustakas,4000,KCR,3B,CHW,7.26
Danny Valencia,3400,SEA,1B,TEX,6.36
Joey Gallo,3700,TEX,1B/3B,SEA,5.46
Nelson Cruz,4400,SEA,OF,TEX,8.56
Kyle Seager,4100,SEA,3B,TEX,5.67
Guillermo Heredia,2300,SEA,OF,TEX,5.43
Mitch Haniger,4100,SEA,OF,TEX,6.14
Jean Segura,4000,SEA,SS,TEX,7.33
Mike Zunino,3700,SEA,C,TEX,5.31
Benjamin Gamel,3000,SEA,OF,TEX,4.46
Robinson Cano,4800,SEA,2B,TEX,5.93
Delino DeShields,4000,TEX,OF,SEA,7.69
Nomar Mazara,4100,TEX,OF,SEA,5.82
Robinson Chirinos,3300,TEX,C,SEA,5.69
Shin-Soo Choo,3900,TEX,OF,SEA,5.98
Ryan Rua,2600,TEX,1B/OF,SEA,5.43
Rougned Odor,3600,TEX,2B,SEA,5.71
Elvis Andrus,3900,TEX,SS,SEA,8.86
Alcides Escobar,2800,KCR,SS,CHW,5.36
Melky Cabrera,3500,KCR,OF,CHW,6.89
Justin Turner,4100,LAD,3B,SFG,7.02
Brandon Crawford,3400,SFG,SS,LAD,6.23
Buster Posey,3800,SFG,C,LAD,6.53
Curtis Granderson,3900,LAD,OF,SFG,6.94
Yasmani Grandal,3400,LAD,C,SFG,6.38
