Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Buffalo Bills,13,D,3900,BUF,NYJ,17.5,BUF by 7,2.2,0.6,1.6,217,113,16.8,11.5,0,0,0,0,0,9,2.3,9,2.3
Houston Texans,16,D,3800,HOU,JAX,16.3,HOU by 5.5,2.1,0.8,1,233,102,19.5,8.3,0,0,0,0,0,9.6,2.5,0,0
Jacksonville Jaguars,5,D,3700,JAX,@HOU,21.8,HOU by 5.5,2,0.5,1,199,116,16.9,8.4,0,0,0,0,0,8.7,2.4,28,7.6
Denver Broncos,4,D,3600,DEN,LAC,19.5,DEN by 3,2.3,0.9,1.3,262,94,23.6,9.1,0,0,0,0,0,9,2.5,5,1.4
Pittsburgh Steelers,9,D,3600,PIT,@CLE,18.5,PIT by 10,4.1,0.7,0.9,204,107,16.1,10.6,0,0,0,0,0,8,2.2,18,5
Carolina Panthers,2,D,3500,CAR,@SF,20.5,CAR by 4.5,2.9,0.9,0.6,182,126,19.2,7.8,0,0,0,0,0,7.5,2.1,15,4.3
Tampa Bay Buccaneers,,D,3400,TB,@MIA,19.3,TB by 2.5,1.9,0.5,0.9,219,114,22.2,6.1,0,0,0,0,0,0,0,0,0
New England Patriots,0,D,3400,NE,KC,19.8,NE by 8,2,0.6,0.5,234,109,22.2,4.8,0,0,0,0,0,7.2,2.1,1,0.3
Atlanta Falcons,4,D,3300,ATL,@CHI,20.8,ATL by 6.5,1.8,0.8,1.2,248,108,16.6,8.6,0,0,0,0,0,8.5,2.6,5,1.5
Los Angeles Rams,22,D,3200,LAR,IND,19,LAR by 3.5,2.8,0.4,0.9,263,102,25.3,6.3,0,0,0,0,0,9.1,2.8,28,8.8
Cincinnati Bengals,5,D,3100,CIN,BAL,19.5,CIN by 2.5,2.1,0.4,1,256,91,20.9,6.4,0,0,0,0,0,7.8,2.5,4,1.3
Los Angeles Chargers,1,D,3000,LAC,@DEN,22.5,DEN by 3,2.5,0.9,0.7,230,93,19.2,8.1,0,0,0,0,0,5.5,1.8,8,2.7
Washington Redskins,,D,3000,WAS,PHI,25.3,PHI by 1,2.1,0.4,0.9,224,113,21.7,5.5,0,0,0,0,0,5.8,1.9,12,4
Seattle Seahawks,1,D,2900,SEA,@GB,26,GB by 2.5,2.2,0.6,0.5,262,106,27,4.6,0,0,0,0,0,6.6,2.3,7,2.4
Dallas Cowboys,3,D,2900,DAL,NYG,20.3,DAL by 6,1.4,0.7,1,242,88,18.3,6.6,0,0,0,0,0,7.3,2.5,12,4.1
Minnesota Vikings,1,D,2900,MIN,NO,22.3,MIN by 3,1.7,0.6,0.9,317,109,29.2,6.1,0,0,0,0,0,6.9,2.4,2,0.7
Arizona Cardinals,0,D,2800,ARI,@DET,23,ARI by 2.5,2.3,0.3,0.6,257,82,21,5.4,0,0,0,0,0,6.3,2.3,8,2.9
Baltimore Ravens,,D,2800,BAL,@CIN,22,CIN by 2.5,2.6,0.6,0.5,246,111,20.2,5.8,0,0,0,0,0,6.8,2.4,25,8.9
Miami Dolphins,1,D,2800,MIA,TB,21.8,TB by 2.5,2.3,0.6,1.1,245,101,20.5,7.6,0,0,0,0,0,0,0,0,0
Philadelphia Eagles,2,D,2700,PHI,@WAS,24.3,PHI by 1,1.4,0.6,0.8,297,106,24.8,5.4,0,0,0,0,0,5.7,2.1,22,8.1
Indianapolis Colts,2,D,2700,IND,@LAR,22.5,LAR by 3.5,3.1,0.6,1.3,184,78,13.6,12,0,0,0,0,0,6.1,2.3,2,0.7
Detroit Lions,,D,2600,DET,ARI,25.5,ARI by 2.5,2.6,0.7,1.1,259,108,24.8,8,0,0,0,0,0,5.5,2.1,16,6.2
New York Giants,3,D,2600,NYG,@DAL,26.3,DAL by 6,1.8,0.6,0.4,227,150,26.3,3.3,0,0,0,0,0,4.6,1.8,2,0.8
Tennessee Titans,,D,2600,TEN,OAK,23.5,TEN by 2.5,1.2,0.4,0.4,253,120,25.6,3.4,0,0,0,0,0,5.1,2,2,0.8
Oakland Raiders,0,D,2500,OAK,@TEN,26,TEN by 2.5,1.8,0.4,0.7,221,137,23.4,7.3,0,0,0,0,0,4.1,1.6,2,0.8
Green Bay Packers,0,D,2500,GB,SEA,23.5,GB by 2.5,2.6,0.4,0.8,258,99,21.6,6.7,0,0,0,0,0,6.3,2.5,9,3.6
New York Jets,,D,2400,NYJ,@BUF,24.5,BUF by 7,2.9,0.3,0.4,190,164,23.8,5.3,0,0,0,0,0,4.8,2,4,1.7
New Orleans Saints,0,D,2400,NO,@MIN,25.3,MIN by 3,2.4,0.7,0.3,240,75,18.8,6.5,0,0,0,0,0,5.4,2.3,0,0
Kansas City Chiefs,,D,2300,KC,@NE,27.8,NE by 8,1.5,0.6,0.1,269,117,27.2,2.5,0,0,0,0,0,4.2,1.8,3,1.3
Chicago Bears,,D,2200,CHI,ATL,27.3,ATL by 6.5,2.3,0.3,0.4,295,121,31.9,2.6,0,0,0,0,0,5.1,2.3,2,0.9
San Francisco 49ers,1,D,2100,SF,CAR,25,CAR by 4.5,2.3,0.6,1.2,230,113,21.8,8.5,0,0,0,0,0,5.8,2.8,4,1.9
Cleveland Browns,,D,2000,CLE,PIT,28.5,PIT by 10,1.3,0.2,0.9,263,110,24.4,4.1,0,0,0,0,0,4.4,2.2,3,1.5
