Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Le'Veon Bell,18,,RB,9800,PIT,@CLE,28.5,PIT by 10,3%,31%,23%,0,0,0,0,0,0,0,16.8,0,0,0,0,6.1,0,0,39,0,0,0,0,0,22,2.2,7.7,0.8
David Johnson,19,D,RB,9400,ARI,@DET,25.5,ARI by 2.5,3%,-2%,-13%,0,0,0,0,0,0,0,18,0,0,0,0,6.4,0,0,38,0,0,0,0,0,24.4,2.6,14.1,1.5
Antonio Brown,15,,WR,8800,PIT,@CLE,28.5,PIT by 10,3%,31%,2%,0,0,0,0,0,0,0,0.2,0,0,0,0,10.1,0,0,17,0,0,0,0,0,23.7,2.7,32.2,3.7
Julio Jones,9,,WR,8500,ATL,@CHI,27.3,ATL by 6.5,-7%,12%,9%,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,16,0,0,0,0,0,20.3,2.4,10.6,1.2
Odell Beckham Jr.,0,Q,WR,8300,NYG,@DAL,20.3,DAL by 6,8%,-23%,-1%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeSean McCoy,18,,RB,8200,BUF,NYJ,24.5,BUF by 7,1%,-9%,2%,0,0,0,0,0,0,0,16.3,0,0,0,0,3.3,0,0,35,0,0,0,0,0,19.1,2.3,23.9,2.9
Ezekiel Elliott,4,,RB,8100,DAL,NYG,26.3,DAL by 6,4%,-19%,-13%,0,0,0,0,0,0,0,19.9,0,0,0,0,3.1,0,0,37,0,0,0,0,0,19.6,2.4,22,2.7
A.J. Green,19,,WR,8000,CIN,BAL,22,CIN by 2.5,-4%,-18%,4%,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,17,0,0,0,0,0,19,2.4,12.4,1.6
Mike Evans,2,,WR,7800,TB,@MIA,21.8,TB by 2.5,0%,29%,6%,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Brandin Cooks,0,,WR,7700,NE,KC,27.8,NE by 8,2%,11%,4%,0,0,0,0,0,0,0,0.3,0,0,0,0,8.2,0,0,14,0,0,0,0,0,16.8,2.2,11.8,1.5
Jordy Nelson,12,,WR,7600,GB,SEA,26,GB by 2.5,-7%,-15%,1%,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,13,0,0,0,0,0,17.7,2.3,20.9,2.8
Tom Brady,3,,QB,7600,NE,KC,27.8,NE by 8,2%,11%,-3%,0,0,33.7,0,0,0,0,2,0,0,0,0,0,0,0,58,0,0,0,0,0,19.8,2.6,10.7,1.4
Dez Bryant,2,,WR,7500,DAL,NYG,26.3,DAL by 6,4%,-19%,-9%,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,12,0,0,0,0,0,15.5,2.1,6.3,0.8
DeMarco Murray,19,,RB,7400,TEN,OAK,26,TEN by 2.5,7%,8%,4%,0,0,0,0,0,0,0,15.3,0,0,0,0,3.4,0,0,33,0,0,0,0,0,16.8,2.3,8,1.1
Michael Thomas,0,,WR,7400,NO,@MIN,22.3,MIN by 3,-14%,-2%,-13%,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,11,0,0,0,0,0,11.6,1.6,9.5,1.3
Ben Roethlisberger,6,,QB,7300,PIT,@CLE,28.5,PIT by 10,3%,31%,16%,0,0,33.4,0,0,0,0,3.5,0,0,0,0,0,0,0,62,0,0,0,0,0,19.2,2.6,16.7,2.3
Amari Cooper,19,,WR,7200,OAK,@TEN,23.5,TEN by 2.5,11%,-19%,21%,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,16.6,2.3,17.2,2.4
Drew Brees,3,,QB,7200,NO,@MIN,22.3,MIN by 3,-14%,-2%,-10%,0,0,38.1,0,0,0,0,1.5,0,0,0,0,0,0,0,63,0,0,0,0,0,21.6,3,15.6,2.2
Cam Newton,10,,QB,7100,CAR,@SF,25,CAR by 4.5,0%,52%,4%,0,0,30.9,0,0,0,0,5.2,0,0,0,0,0,0,0,60,0,0,0,0,0,19.1,2.7,14.1,2
Devonta Freeman,14,,RB,7000,ATL,@CHI,27.3,ATL by 6.5,-7%,12%,-11%,0,0,0,0,0,0,0,12.1,0,0,0,0,3.9,0,0,27,0,0,0,0,0,13.9,2,11.9,1.7
Aaron Rodgers,11,,QB,7000,GB,SEA,26,GB by 2.5,-7%,-15%,-13%,0,0,34.4,0,0,0,0,3.8,0,0,0,0,0,0,0,64,0,0,0,0,0,22.7,3.2,20.5,2.9
Matt Ryan,7,,QB,6900,ATL,@CHI,27.3,ATL by 6.5,-7%,12%,0%,0,0,35.6,0,0,0,0,1.8,0,0,0,0,0,0,0,64,0,0,0,0,0,19.6,2.8,20.9,3
Russell Wilson,21,,QB,6900,SEA,@GB,23.5,GB by 2.5,12%,-13%,11%,0,0,34.7,0,0,0,0,5.5,0,0,0,0,0,0,0,68,0,0,0,0,0,23,3.3,9.3,1.3
T.Y. Hilton,2,,WR,6900,IND,@LAR,19,LAR by 3.5,-3%,-5%,13%,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,15,0,0,0,0,0,15.1,2.2,7.7,1.1
Marcus Mariota,13,,QB,6800,TEN,OAK,26,TEN by 2.5,7%,8%,8%,0,0,28.3,0,0,0,0,3.7,0,0,0,0,0,0,0,56,0,0,0,0,0,18.5,2.7,18.8,2.8
Rob Gronkowski,1,,TE,6800,NE,KC,27.8,NE by 8,2%,11%,-22%,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,7,0,0,0,0,0,10.9,1.6,5.3,0.8
Doug Baldwin,27,,WR,6700,SEA,@GB,23.5,GB by 2.5,12%,-13%,18%,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,13,0,0,0,0,0,19.2,2.9,10,1.5
Derek Carr,20,,QB,6700,OAK,@TEN,23.5,TEN by 2.5,11%,-19%,14%,0,0,37.9,0,0,0,0,1.9,0,0,0,0,0,0,0,65,0,0,0,0,0,19.3,2.9,18.7,2.8
Jameis Winston,4,,QB,6600,TB,@MIA,21.8,TB by 2.5,0%,29%,14%,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Melvin Gordon,8,,RB,6600,LAC,@DEN,19.5,DEN by 3,-23%,20%,-1%,0,0,0,0,0,0,0,17.6,0,0,0,0,3.3,0,0,35,0,0,0,0,0,15.8,2.4,18.9,2.9
Jay Ajayi,3,,RB,6500,MIA,TB,19.3,TB by 2.5,4%,8%,0%,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Andrew Luck,,O,QB,6500,IND,@LAR,19,LAR by 3.5,-3%,-5%,4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,3,Q,WR,6500,DET,ARI,23,ARI by 2.5,-13%,-13%,9%,0,0,0,0,0,0,0,0.5,0,0,0,0,6.5,0,0,12,0,0,0,0,0,12.5,1.9,24.4,3.8
Kirk Cousins,14,,QB,6400,WAS,PHI,24.3,PHI by 1,-1%,-5%,-5%,0,0,35.4,0,0,0,0,2,0,0,0,0,0,0,0,61,0,0,0,0,0,21.8,3.4,13.6,2.1
Jordan Howard,11,,RB,6300,CHI,ATL,20.8,ATL by 6.5,10%,-4%,17%,0,0,0,0,0,0,0,16.7,0,0,0,0,2.5,0,0,34,0,0,0,0,0,18.3,2.9,15.6,2.5
Demaryius Thomas,2,,WR,6300,DEN,LAC,22.5,DEN by 3,3%,-10%,-8%,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,11,0,0,0,0,0,14.9,2.4,11.7,1.9
Dak Prescott,1,,QB,6300,DAL,NYG,26.3,DAL by 6,4%,-19%,-22%,0,0,31.3,0,0,0,0,3.4,0,0,0,0,0,0,0,55,0,0,0,0,0,19.8,3.1,17.1,2.7
